Timestamp,Iteration,Command
2025-05-01T06:19:32.739947,1,nmap -sV 192.168.122.15 192.168.122.131
2025-05-01T06:19:35.269512,2,nmap -sV -p- 192.168.122.15 192.168.122.131
2025-05-01T06:19:37.569311,3,nmap -sV -p- 192.168.122.15 192.168.122.131
2025-05-01T06:19:39.707772,4,nmap -sV -p- 192.168.122.15
2025-05-01T06:19:42.297885,5,nmap -sV -p- 192.168.122.15 192.168.122.131
2025-05-01T06:19:44.964861,6,nmap -sV -p- 192.168.122.15 192.168.122.131
2025-05-01T06:19:47.527030,7,nmap -sV -p- 192.168.122.15 192.168.122.131
2025-05-01T06:19:49.704803,8,nmap -sV -p- 192.168.122.15 192.168.122.131
2025-05-01T06:19:52.048191,9,nmap -sV -p- 192.168.122.15 192.168.122.131
2025-05-01T06:19:54.510599,10,nmap -sV -p- 192.168.122.15 192.168.122.131
2025-05-01T06:19:57.343388,11,nmap -sV -p- 192.168.122.15 192.168.122.131
2025-05-01T06:20:00.025875,12,nmap -sS -p- 192.168.122.15 -oN nmap_192.168.122.15_full_tcp.txt
2025-05-01T06:20:02.337594,13,nmap -sV -p- 192.168.122.15 192.168.122.131
2025-05-01T06:20:05.389369,14,nmap -sV -p- 192.168.122.15 192.168.122.131
2025-05-01T06:20:08.701348,15,nmap -sV -p- 192.168.122.15 -oN nmap_192_168_122_15.txt
2025-05-01T06:20:11.475825,16,nmap -sV -p- 192.168.122.15 192.168.122.131
2025-05-01T06:20:13.775663,17,nmap -sV -p- 192.168.122.15 192.168.122.131
2025-05-01T06:20:16.726763,18,nmap -sV -p- 192.168.122.15 192.168.122.131 -oN scan_services.txt
2025-05-01T06:20:19.081845,19,nmap -sV -p- 192.168.122.15 192.168.122.131
2025-05-01T06:20:21.364399,20,nmap -sV -p- 192.168.122.15 -oN nmap_192.168.122.15.txt
2025-05-01T06:20:24.271984,21,nmap -sC -sV -oN nmap_192.168.122.15.txt 192.168.122.15
2025-05-01T06:20:26.765546,22,nmap -sV -p- 192.168.122.15 192.168.122.131
2025-05-01T06:20:29.091948,23,nmap -sV -p- 192.168.122.15 -oN nmap_192.168.122.15.txt
2025-05-01T06:20:31.585743,24,nmap -sV -p- 192.168.122.15
2025-05-01T06:20:34.753792,25,nmap -sV -p- 192.168.122.15 192.168.122.131
2025-05-01T06:20:37.206464,26,nmap -sC -sV -oN scan_192.168.122.15.txt 192.168.122.15
2025-05-01T06:20:39.510064,27,nmap -sV 192.168.122.15 192.168.122.131
2025-05-01T06:20:41.879007,28,nmap -p- -sV 192.168.122.15 -oN nmap_192.168.122.15.txt
2025-05-01T06:20:45.296697,29,nmap -sV -p- 192.168.122.15 192.168.122.131
2025-05-01T06:20:47.951419,30,nmap -sV -p- 192.168.122.15 192.168.122.131
2025-05-01T06:20:50.724163,31,nmap -sV -p- 192.168.122.15 192.168.122.131
2025-05-01T06:20:53.216048,32,nmap -sV -p- 192.168.122.15 192.168.122.131
2025-05-01T06:20:56.552684,33,nmap -sV -p- 192.168.122.15 192.168.122.131
2025-05-01T06:20:59.208442,34,nmap -sV -p- 192.168.122.15 192.168.122.131
2025-05-01T06:21:01.524168,35,nmap -p- -sV 192.168.122.15 192.168.122.131
2025-05-01T06:21:04.087774,36,nmap -sV -p- 192.168.122.15 192.168.122.131
2025-05-01T06:21:06.700675,37,nmap -sV -p- 192.168.122.15 192.168.122.131
2025-05-01T06:21:09.228042,38,nmap -sV -p- 192.168.122.15 192.168.122.131
2025-05-01T06:21:11.934610,39,nmap -sV -p- 192.168.122.15 192.168.122.131
2025-05-01T06:21:14.177391,40,nmap -sV -p- 192.168.122.15 192.168.122.131
